income,race,sex,marital.status,relationship,education,hours.per.week,capital.loss,capital.gain,education.num,fnlwgt,age
<=50K,White,Female,Never-married,Own-child,5th-6th,5.1430454047557905,571.8959999017184,5119.88999128879,3.0,172075.15003765735,42.381828192968584
<=50K,White,Male,Married-civ-spouse,Husband,Some-college,62.40371163774196,540.635310426429,95421.1769872792,10.0,404363.9499330802,49.615263476782594
<=50K,White,Female,Married-civ-spouse,Wife,Some-college,55.10777790855783,855.2506526410539,64450.126197758924,10.0,1252916.7019643039,86.77951933454861
<=50K,White,Male,Married-civ-spouse,Husband,Bachelors,75.35168535823392,598.7047010856677,8303.473428037067,13.0,129913.59709738346,40.35334485376963
>50K,White,Female,Married-civ-spouse,Husband,Bachelors,28.027827831409144,1888.654811835857,45864.14436420558,13.0,101157.27536565658,58.86042191731022
<=50K,White,Female,Never-married,Not-in-family,Some-college,1.4816391722772055,1608.25654201399,75039.5696829574,10.0,920423.4566734289,83.16571705112895
<=50K,White,Female,Married-civ-spouse,Husband,Some-college,26.436777684104776,1173.6440169372427,26495.02082204325,10.0,471822.91964184825,46.99103023374616
>50K,White,Male,Married-civ-spouse,Husband,HS-grad,52.80881518899422,2063.8305465921535,46553.23355080674,9.0,442686.9026752514,57.64447217694925
<=50K,White,Female,Married-civ-spouse,Husband,Some-college,68.38548904412846,1006.3176871958151,83385.0663106404,10.0,1390570.2600308068,44.24266829856797
>50K,White,Male,Married-civ-spouse,Husband,HS-grad,49.20380298095458,3524.289556982886,80629.11147519467,9.0,1075299.9371761521,37.70158762298671
<=50K,White,Male,Never-married,Not-in-family,HS-grad,51.90930937358058,535.1726293449872,90903.25513869924,9.0,606126.2722184412,41.27743542463087
<=50K,White,Male,Never-married,Own-child,9th,61.05490523723127,810.170174176627,60080.268914983724,5.0,502997.26344573975,50.239518999858724
<=50K,White,Female,Never-married,Not-in-family,7th-8th,33.76279929654256,2733.365859662843,6160.2645449476995,4.0,393430.72337918525,64.74888446298681
<=50K,Asian-Pac-Islander,Male,Never-married,Own-child,Some-college,35.532300748176475,2929.8217008857223,36682.724107945,10.0,1428475.3732363193,26.150689875675027
<=50K,White,Male,Never-married,Not-in-family,Some-college,83.58027560465595,3623.3884908943915,49147.011122229545,10.0,803915.9825087418,69.66645844937503
<=50K,White,Male,Married-civ-spouse,Husband,Some-college,58.09369912413315,2672.352455822198,44973.12329212175,10.0,1417696.6064904903,61.43168782469852
<=50K,White,Female,Married-civ-spouse,Husband,Some-college,71.69620880423534,4110.223813678527,26312.355428236173,10.0,633618.2652583907,89.03853293779154
<=50K,White,Female,Never-married,Not-in-family,12th,26.624730067470058,1199.1778202252133,2144.141647895971,8.0,75350.9781087985,87.8998576342101
<=50K,White,Male,Married-civ-spouse,Husband,11th,68.36561226944053,2716.30623130515,913.2497225473857,7.0,231845.42769788663,40.56071878875614
<=50K,White,Male,Married-civ-spouse,Husband,Some-college,74.87269505659431,1498.570455591926,64685.37444072885,10.0,845228.4230863155,67.08353535767132
<=50K,White,Female,Never-married,Not-in-family,HS-grad,49.33460589031182,940.910500787556,27298.770625335277,9.0,783683.2589117014,40.71474673357909
<=50K,White,Female,Never-married,Own-child,Bachelors,97.90977829661357,2017.5335521153163,51633.570617619116,13.0,265628.28809588635,77.18034041740201
<=50K,White,Female,Never-married,Not-in-family,9th,90.68289177476721,1386.9605578115118,12976.53627563982,5.0,84287.12298277295,30.783129575180553
>50K,Black,Male,Married-civ-spouse,Husband,Some-college,17.730769948475768,2367.3166572739683,67021.81982560075,10.0,896684.8758469699,57.97629539859413
<=50K,Black,Male,Widowed,Not-in-family,Some-college,75.38886605624457,244.40013837539095,77171.3271932441,10.0,277735.7841333587,76.35993978613318
<=50K,White,Female,Never-married,Own-child,11th,13.471994883769336,2518.0565429068665,8877.243571906192,7.0,56236.77098434787,86.82452728953967
<=50K,White,Female,Never-married,Unmarried,10th,48.77223061594859,3055.6617091294447,29624.16946858794,6.0,128974.10240824848,46.27333161898105
<=50K,White,Female,Never-married,Not-in-family,HS-grad,96.53677118864604,575.9016416478935,31628.0963162468,9.0,956151.367325128,84.94950940604365
<=50K,White,Female,Never-married,Unmarried,Some-college,94.35735886731885,3801.0536986006628,45046.94624891561,10.0,492899.3523712046,20.149398817038197
<=50K,White,Female,Married-civ-spouse,Husband,HS-grad,80.71883736284111,2946.714218433707,21011.543159298435,9.0,326605.0708267148,77.23892366720875
<=50K,White,Female,Never-married,Not-in-family,Some-college,39.769659634411184,2652.1468236134338,73814.88949754086,10.0,620119.6758569048,72.16034426708111
>50K,White,Male,Married-civ-spouse,Husband,Doctorate,27.728878187785064,3234.2825815294227,22408.755440184745,16.0,229130.25471535753,56.50617843668679
<=50K,White,Male,Never-married,Not-in-family,HS-grad,80.13340616169636,3171.0163894610873,25274.602060649264,9.0,654603.5867223969,34.4436364817077
<=50K,White,Female,Married-civ-spouse,Wife,HS-grad,87.69916723808173,3950.7798332220805,44266.49689490129,9.0,1207619.2990352942,44.25324804443805
<=50K,White,Male,Divorced,Not-in-family,Some-college,53.15003601245097,4169.418692096615,27812.164205678237,10.0,1372092.7812664662,33.16617297569215
>50K,White,Male,Married-civ-spouse,Husband,Bachelors,77.06565819798995,2733.2629190995635,62791.8863998402,13.0,850443.3644941605,82.15193880367521
<=50K,White,Female,Separated,Unmarried,Bachelors,40.21048977243493,2379.5804717637307,97313.5248876351,13.0,65468.71283746347,63.5128402514483
<=50K,White,Male,Widowed,Unmarried,Assoc-acdm,88.06080282351445,2362.4696250075167,24986.690365221242,12.0,885823.0635831683,63.138849647796214
>50K,White,Male,Married-civ-spouse,Husband,Bachelors,78.78239947856882,2431.312822756944,70376.27471191893,13.0,373902.68355635245,72.02113516704779
>50K,White,Male,Married-civ-spouse,Husband,Bachelors,15.772675756025464,892.0095701347715,66043.23793027642,13.0,1014858.0627298597,28.92343808878124
>50K,White,Male,Married-civ-spouse,Husband,Masters,33.846369107412094,972.4945464419529,69473.128446226,14.0,254257.2564357668,74.39436261085365
<=50K,White,Male,Married-civ-spouse,Husband,Bachelors,43.58156624542611,969.1852206207888,7125.7623225130865,13.0,135142.74761125684,44.91076218326967
