hours.per.week,income,race,sex,marital.status,relationship,education,age,education.num
39.45673817377874,<=50K,Black,Female,Never-married,Other-relative,HS-grad,31.946898037640114,9.0
34.167348436708295,<=50K,Black,Male,Widowed,Not-in-family,Some-college,89.02002467522486,10.0
45.98334611652007,<=50K,White,Female,Separated,Unmarried,Bachelors,24.75789296701675,13.0
35.49097825240678,>50K,White,Male,Divorced,Not-in-family,Some-college,42.319094168940694,10.0
27.49643909018402,<=50K,White,Female,Never-married,Not-in-family,Some-college,51.72610030161795,10.0
20.722950362709387,<=50K,White,Female,Married-civ-spouse,Husband,HS-grad,81.35135679415563,9.0
27.17197288692688,>50K,Black,Male,Married-civ-spouse,Husband,Some-college,86.24828361068911,10.0
17.812511242014615,<=50K,White,Male,Married-civ-spouse,Husband,10th,32.92923747841117,6.0
44.28439015765005,<=50K,White,Male,Divorced,Not-in-family,HS-grad,31.73992812948975,9.0
42.83777962592606,<=50K,White,Male,Divorced,Unmarried,7th-8th,82.9641165802096,4.0
28.81516853143826,>50K,White,Male,Married-civ-spouse,Wife,Bachelors,43.83660833216832,13.0
50.897857985781144,<=50K,White,Male,Divorced,Not-in-family,HS-grad,71.08958266167818,9.0
48.119893467877105,>50K,White,Male,Married-civ-spouse,Husband,Assoc-acdm,39.25550661621256,12.0
55.42821957606867,<=50K,Black,Male,Never-married,Not-in-family,HS-grad,84.00181369570733,9.0
16.29841255643517,<=50K,White,Male,Married-civ-spouse,Husband,HS-grad,70.1505453306996,9.0
26.10042698319475,>50K,White,Female,Married-civ-spouse,Husband,Some-college,37.56762593884532,10.0
34.13012907396317,<=50K,White,Female,Married-civ-spouse,Husband,Bachelors,50.724658871263685,13.0
41.108698449137414,<=50K,Black,Female,Married-civ-spouse,Husband,Masters,85.62441076521651,14.0
45.16864117298911,>50K,White,Male,Married-civ-spouse,Other-relative,Some-college,64.23783455175234,10.0
25.594502429613133,<=50K,White,Female,Never-married,Other-relative,Some-college,45.474982847389555,10.0
42.337965166983224,<=50K,White,Male,Never-married,Own-child,HS-grad,26.988822037575257,9.0
51.42561603332709,<=50K,White,Male,Married-civ-spouse,Husband,Bachelors,62.625925421449544,13.0
40.494708264719506,<=50K,White,Male,Never-married,Own-child,Bachelors,54.746220684005706,13.0
37.923854101083826,<=50K,White,Male,Never-married,Own-child,Bachelors,28.033834241574993,13.0
