veil-type,gill-attachment,veil-color,ring-number,gill-spacing,gill-size,bruises,stalk-shape,class,stalk-surface-above-ring,stalk-surface-below-ring,ring-type,cap-surface,cap-shape,stalk-root,stalk-color-above-ring,stalk-color-below-ring,population,spore-print-color,habitat,odor,cap-color,gill-color
p,f,w,o,c,n,f,e,p,f,y,p,s,k,?,w,c,n,h,l,n,g,b
p,f,w,o,c,n,f,e,p,k,k,p,y,x,b,n,p,y,h,p,n,n,g
p,f,w,o,w,b,f,e,e,s,s,p,y,k,?,o,g,s,h,l,n,y,w
p,f,w,o,c,b,t,e,e,s,y,p,f,x,?,w,w,v,n,d,n,w,p
p,f,w,o,c,b,f,e,p,k,s,p,y,x,e,w,w,n,h,d,y,n,p
p,f,w,t,c,n,t,e,e,s,k,p,y,f,b,g,b,s,h,g,f,w,w
p,f,w,o,c,b,f,e,p,k,k,e,s,x,e,p,b,v,w,d,l,n,u
p,f,w,o,c,b,f,e,p,f,s,p,s,f,?,w,w,y,h,d,f,e,h
p,f,w,o,c,b,t,e,p,s,k,e,f,f,b,p,b,v,k,l,n,y,h
p,f,w,o,w,b,f,t,p,k,s,p,y,x,?,b,g,v,u,m,n,g,b
p,f,w,o,c,b,t,e,e,s,k,p,y,x,b,e,b,v,h,g,n,n,k
p,f,w,o,w,n,f,t,p,f,y,l,y,f,b,w,c,y,k,d,n,y,n
p,f,w,o,c,b,f,t,p,k,y,p,s,f,b,b,w,v,n,g,c,w,g
p,f,w,o,c,b,f,t,p,k,k,p,f,k,?,n,w,y,w,l,n,e,b
p,f,w,o,c,b,f,t,e,s,f,e,s,x,?,w,w,a,k,g,f,n,w
p,f,w,o,c,b,f,e,p,f,s,l,f,x,?,w,w,y,h,d,n,n,p
p,f,w,o,c,n,f,t,p,s,k,p,y,k,b,w,p,y,w,d,f,g,b
p,f,w,o,c,b,t,t,p,s,s,p,f,f,r,p,p,n,n,d,f,y,h
p,f,w,o,c,b,f,e,p,s,k,p,y,f,b,w,n,c,h,l,f,y,b
p,f,w,o,c,b,t,e,e,s,s,l,s,k,b,w,w,v,h,d,f,n,n
p,f,w,o,w,b,f,t,e,s,s,l,f,x,b,w,w,y,w,d,n,n,w
p,f,w,o,c,n,f,e,p,k,f,p,y,f,?,p,w,y,k,d,y,y,w
p,f,w,o,c,n,f,t,e,k,s,p,y,x,?,p,o,v,w,p,f,w,u
p,f,w,o,c,b,t,t,e,s,s,p,f,f,b,w,w,v,w,d,f,g,p
p,f,w,o,c,b,t,t,e,s,s,p,f,f,b,w,p,n,k,d,n,g,h
p,f,w,o,c,b,t,t,p,s,s,p,f,x,r,w,g,n,n,l,f,g,h
p,f,w,o,w,n,f,e,e,s,k,p,s,f,b,w,w,v,k,g,f,g,g
p,f,w,o,c,n,f,t,p,k,k,p,y,x,b,p,n,v,w,l,l,e,h
p,f,w,o,c,b,f,e,e,s,y,p,f,x,?,g,w,y,h,d,n,g,w
p,f,w,o,c,b,f,e,e,s,k,p,s,x,?,g,b,v,w,d,f,n,u
p,f,w,o,c,n,t,t,p,s,k,e,s,s,b,w,n,s,h,u,p,y,b
p,f,w,o,c,b,f,e,p,k,s,e,f,x,e,p,g,a,k,d,n,g,b
p,f,w,o,c,b,t,t,e,s,f,e,s,x,c,w,w,v,w,p,l,n,n
p,f,w,o,c,n,f,t,e,s,s,p,y,f,?,w,w,v,w,d,f,n,n
p,f,w,o,c,n,f,e,p,s,f,p,f,x,?,w,n,y,w,d,n,w,b
p,f,w,o,c,b,t,t,e,s,s,e,s,x,b,w,w,s,n,d,y,g,p
p,f,w,o,w,b,t,t,p,s,s,e,f,x,?,p,g,a,k,p,n,b,b
p,f,w,o,w,b,f,t,e,k,k,p,f,c,e,p,b,y,n,l,n,n,n
p,f,w,o,w,b,f,t,p,k,k,e,f,x,b,b,w,v,n,w,n,n,b
p,f,w,o,w,b,f,t,e,s,s,e,s,f,b,g,w,s,w,g,s,w,p
p,f,w,o,c,n,f,t,e,f,s,e,s,f,e,w,w,v,w,d,a,g,u
p,f,w,o,c,b,t,t,p,s,y,p,f,x,b,w,w,v,w,g,n,n,p
p,f,w,o,c,b,f,e,p,k,s,p,y,f,?,p,w,n,h,g,m,n,b
p,f,w,t,c,b,t,t,e,s,s,e,s,x,b,w,g,v,n,d,n,w,g
p,f,w,o,c,n,f,e,e,k,s,p,s,f,b,n,p,n,h,p,f,g,n
p,f,w,o,c,b,t,t,p,s,s,l,y,b,b,w,e,v,w,m,a,g,b
p,f,w,o,c,n,f,t,p,k,k,l,s,x,?,b,w,v,n,d,n,y,b
p,f,w,o,c,n,f,e,e,s,k,e,s,f,b,w,p,s,h,d,f,e,p
p,f,w,o,c,b,t,e,p,f,y,l,f,f,b,w,n,y,r,p,n,n,w
p,f,w,o,c,b,f,e,p,k,k,e,s,f,e,w,w,v,w,g,y,g,b
p,f,w,o,w,b,t,t,p,s,s,e,y,x,b,w,e,v,w,d,n,e,p
p,f,w,o,c,b,f,e,e,s,s,p,s,f,?,w,p,v,k,d,y,w,u
p,f,w,o,c,b,f,t,e,k,s,p,f,x,b,p,w,y,n,p,n,e,p
p,f,w,o,w,b,f,e,e,k,k,p,f,f,?,n,p,v,h,g,n,n,p
p,f,w,o,w,n,f,t,e,s,k,e,y,x,e,w,p,v,k,d,n,n,e
p,f,w,o,c,b,f,t,p,k,s,l,y,f,e,p,w,y,k,g,n,w,n
p,f,w,o,c,n,f,e,p,s,y,e,s,k,?,w,w,v,k,l,y,n,b
p,f,w,o,c,n,f,t,p,k,k,p,y,f,?,p,b,v,w,g,f,e,b
p,f,w,o,c,n,f,e,e,k,s,p,y,x,?,b,w,s,n,d,l,n,n
p,f,w,o,c,b,t,e,e,s,k,p,y,x,b,w,p,c,n,p,s,n,u
p,f,w,o,c,b,f,t,p,s,s,p,s,f,b,w,w,s,k,d,n,e,b
p,f,w,o,c,n,f,e,e,k,s,p,y,x,?,n,w,v,h,p,l,g,w
p,f,w,o,c,n,f,e,p,k,k,e,s,f,?,p,b,v,n,p,s,e,g
