Dept,Education,Gender,BasePay
Administration,PhD,Male,120088.90178404444
Operations,High School,Female,103672.35557753567
Sales,PhD,Male,78475.32974572762
Administration,PhD,Female,68326.89750896071
Management,PhD,Male,71113.0409975298
Management,PhD,Male,87647.28710642016
Management,College,Male,87278.95599300684
Operations,High School,Female,89962.51599767075
Sales,Masters,Female,97743.87981523713
Sales,Masters,Female,86727.03965425554
Operations,College,Female,51494.71264076487
Management,High School,Female,108155.35178224038
Engineering,PhD,Female,86922.94927097752
Sales,PhD,Male,118729.42214224242
Operations,PhD,Female,64094.434541897324
Sales,High School,Male,118348.4414508657
Engineering,College,Male,114222.81029085522
Management,Masters,Male,106814.37602789188
Management,Masters,Male,89140.6198563355
Engineering,Masters,Female,98304.1450681754
Sales,College,Female,76007.80234317233
Sales,High School,Female,93974.01450519747
Management,PhD,Female,126327.65848598474
Management,PhD,Female,111698.07474026586
Management,College,Female,82535.14457186293
Operations,College,Male,134765.17418415047
Administration,College,Male,103520.06202963374
Management,PhD,Male,113684.19811022183
Administration,College,Male,84790.06111508289
Administration,College,Female,126998.65461699083
Operations,High School,Female,40557.36175235549
Administration,High School,Male,101739.57460759032
Sales,PhD,Male,73507.6256425583
Management,PhD,Male,77857.10583657783
Sales,Masters,Male,124855.32857170337
Administration,PhD,Female,105872.20492986469
Administration,High School,Male,104658.64493573534
Engineering,Masters,Female,117355.25218182076
Engineering,High School,Male,64532.557114114505
Management,High School,Female,101780.11367147556
Management,High School,Female,98171.86137887306
Management,PhD,Female,70648.94659613477
Engineering,PhD,Female,114105.318512263
Sales,College,Male,109759.04526958786
Engineering,PhD,Male,93584.53033504912
Management,High School,Male,119551.55582570727
Administration,College,Male,94598.67920801819
Engineering,College,Female,113172.85538727247
Management,Masters,Male,68685.35530599656
Operations,High School,Male,151973.4816151475
Engineering,High School,Male,118169.73998897635
Engineering,High School,Male,53416.70619170055
Administration,High School,Male,79621.09950437954
Engineering,High School,Female,106229.8175596682
Operations,PhD,Male,80599.31511610726
Administration,College,Male,116021.23367164943
Engineering,Masters,Female,51229.992340086275
Sales,High School,Female,29557.446098667533
Administration,Masters,Female,48115.91860641959
Administration,High School,Female,68015.96494818434
Administration,Masters,Male,63923.391307091304
Management,High School,Female,74007.49994985403
Management,PhD,Female,120137.15946200701
Sales,PhD,Male,58987.35115187943
Operations,Masters,Male,89062.43969606342
Operations,PhD,Male,91335.37680521554
Engineering,High School,Female,78516.09354654231
Sales,PhD,Female,121328.68832601717
Management,College,Male,61685.72517349921
Administration,PhD,Male,86274.65043605547
Operations,High School,Male,89868.15274072193
Engineering,Masters,Female,138209.27520268282
Operations,College,Male,106527.19547837091
Operations,PhD,Female,125756.07294154899
Administration,Masters,Female,102667.68363781561
Sales,College,Male,93093.04296062572
Sales,High School,Female,59631.776708768535
Administration,Masters,Male,118179.23169819199
Sales,College,Male,119769.01740596181
Operations,Masters,Male,100678.01126152677
Management,High School,Male,118697.08990834355
Administration,High School,Female,67143.65614376961
Engineering,High School,Male,104476.37948176762
Engineering,College,Female,77855.70399746596
Management,Masters,Male,116136.45368547001
Engineering,College,Female,79199.8487223105
Engineering,Masters,Female,70204.47141226214
Management,High School,Male,124209.76736117591
Management,Masters,Female,85877.8321369141
Management,High School,Male,82539.31995265408
Sales,PhD,Male,86498.6001444694
Sales,PhD,Male,109106.15722333839
Operations,PhD,Female,81415.36999401657
Engineering,Masters,Female,92052.35074846564
Administration,College,Male,137287.56264467142
Engineering,High School,Male,132015.98258654852
Administration,High School,Female,62714.88180796576
Sales,PhD,Female,71825.91991691446
Operations,High School,Male,113784.91945055901
Administration,High School,Male,72972.96103162096
Management,Masters,Male,53424.65839058739
Administration,PhD,Male,65525.57904990541
Engineering,College,Female,85432.39143289297
Operations,College,Female,108628.7940542834
Engineering,Masters,Male,96555.6124040857
Operations,Masters,Male,99634.53376810887
Sales,College,Female,109261.6506498206
Management,PhD,Male,118795.31555874659
Sales,College,Male,102886.84209317579
Operations,College,Female,79529.89359484139
Sales,Masters,Female,86549.2703934516
Engineering,High School,Female,88030.50242661423
Engineering,High School,Male,113028.40173391147
Sales,High School,Female,78213.77133751538
Sales,Masters,Female,58571.191192322025
Management,High School,Female,111744.08844438876
Engineering,College,Female,90823.59363708802
Management,Masters,Female,118600.8402373838
Administration,High School,Male,114340.80534225104
Management,College,Female,71776.05577109355
Engineering,PhD,Male,94084.5852185289
Engineering,High School,Female,73740.50982445879
Administration,High School,Male,87411.96185233085
Management,High School,Female,86226.19265275996
Management,College,Female,119961.00163260473
