Dept,Education,Gender,JobTitle,Bonus,BasePay,Seniority,PerfEval,Age
Management,College,Female,Graphic Designer,7117.9992320541805,118652.74957132686,3.6981462914641616,4.984936714061304,63.5607252965451
Sales,Masters,Female,Financial Analyst,7729.418417809795,35958.2105333632,1.2949006935198892,4.657349624694788,21.029984819645932
Engineering,College,Male,Driver,6835.776779830354,62191.068100997676,3.44180067736192,4.602722623509477,49.90134497396333
Operations,PhD,Female,IT,8283.487483122984,87590.77502979082,3.953917785646836,3.0629077428056464,39.58081067512559
Sales,College,Male,Software Engineer,4591.906323796786,144079.65353741948,1.3341403475538973,3.713470218742791,43.24979009506015
Administration,PhD,Female,Sales Associate,5549.139852442915,113968.93967911167,1.8127910284846673,1.776609792317084,57.04455662506299
Management,PhD,Male,Software Engineer,8294.959435552764,124760.41711370801,1.2409945578612431,2.9323965581212432,47.270173952618336
Administration,PhD,Female,Warehouse Associate,4458.186470528292,104115.57875238259,4.1800724041049815,1.5425134884419913,59.33629727002191
Engineering,PhD,Male,IT,7274.579930044007,151181.64650359016,4.180171051873165,1.9545903193950585,18.835388709315374
Operations,College,Male,Financial Analyst,5063.519992685309,106072.37691692404,4.617090335962857,2.282985357091384,25.704484420457952
Management,High School,Female,Sales Associate,5833.438061491775,132601.52448688654,4.380935129061972,3.391033573185801,49.709633393309886
Operations,High School,Male,Driver,4681.088709743208,94130.52468102562,2.671141874436773,1.5266136774316617,20.9933026255766
Sales,College,Male,Software Engineer,6541.850149923732,60424.76749138455,2.284529205132718,3.3411336525837925,47.02763749117742
Operations,PhD,Female,Data Scientist,5565.94860216524,54593.6127391403,1.163718591135816,4.967294366636352,57.44438684405043
Engineering,High School,Male,Warehouse Associate,7744.923154761909,118011.23814972017,2.93202050354624,4.809344529356013,20.657167556610062
Administration,PhD,Female,Financial Analyst,8669.46467788353,38102.87012646391,2.2326823459171705,2.66188560841476,47.9652098548844
Operations,PhD,Male,Manager,7000.23210096265,141015.59464078388,3.607469665648172,4.712507715675436,32.48185030609787
Management,Masters,Female,Graphic Designer,9884.249994225553,92941.41236130174,4.505641149209204,4.273919170679478,47.50830288933157
Management,Masters,Male,Data Scientist,4066.915063992358,116448.75828482566,1.0870685161963496,3.415521442717608,28.53352023200005
Sales,College,Male,Manager,4608.35516215181,82137.07701822712,2.5572868535872466,2.070729391606433,51.00517738699679
Management,College,Male,Data Scientist,4875.314281927743,132451.62950438182,4.8064697555876466,3.471065280733135,31.08766135989886
Engineering,PhD,Female,IT,5959.101524456115,109332.5159972188,4.849160129848302,4.453701787335199,19.33048159714031
Engineering,Masters,Male,Graphic Designer,7788.910343912967,113518.83358734453,1.860514622591808,1.0366715429821434,49.11979774314029
Administration,PhD,Male,Driver,7653.494708998991,109267.97864826993,3.872230220202855,4.974327155666509,27.460308885787192
Sales,Masters,Male,Financial Analyst,5901.8712479009355,76008.34265262746,3.8245322278387532,2.690190822873809,28.332421366904768
Operations,PhD,Male,Software Engineer,6076.100152389545,100963.94982021625,1.3710009656391118,1.363921400838683,53.09182933445055
Administration,Masters,Female,Data Scientist,3832.4223038106325,44634.61611738255,4.586375197535321,1.0767176041686928,60.9153818487063
Management,High School,Male,Graphic Designer,1976.1815181219752,57521.143188772665,3.272250635052028,2.462099687194451,35.65491218871387
Sales,PhD,Male,Data Scientist,9186.21190969124,94024.83851196172,1.8684352402692954,4.37062155973746,33.447292603245046
Management,Masters,Male,Software Engineer,4956.127194029156,150416.03497203463,4.633148930712062,4.40756620031674,29.123134635018808
Engineering,College,Female,Financial Analyst,4190.688895871492,122110.81215392951,1.5392475152169696,3.8124292916483413,23.298047866609885
Sales,High School,Male,Financial Analyst,4490.501698247443,74683.02966067796,2.4222334999662567,1.3482469637624486,50.632162262287906
Management,Masters,Female,Driver,2829.726470275854,78966.63538198374,1.428079400335661,2.548878162302308,40.63145901080456
Engineering,Masters,Male,Software Engineer,6103.258693048529,121386.79489485886,1.7268775068457307,4.277041004705527,59.30703726205911
