Seniority,Dept,Education,PerfEval,Gender,JobTitle,Bonus,BasePay,Age
3,Administration,Masters,2,Female,Warehouse Associate,9177.315733527383,83656.55379658552,57.81931867487992
2,Administration,College,5,Male,Graphic Designer,4860.623328592716,78913.65456198914,55.91607925753027
4,Administration,High School,5,Female,IT,2638.9243919031087,77866.25543100883,31.493372487764333
4,Management,Masters,1,Female,Marketing Associate,6117.772337159799,132456.0868404806,46.40024538005894
1,Administration,College,3,Female,Sales Associate,5827.672998550004,82327.32075843847,51.645709137441784
1,Engineering,High School,3,Male,Data Scientist,3396.680932053229,120865.35899581981,63.97887422163761
3,Engineering,College,2,Male,IT,9455.685294917155,124003.97453799273,59.09253747943379
2,Administration,College,5,Female,Driver,5770.647200275063,99745.58161424827,60.1487449641936
4,Operations,Masters,2,Male,Warehouse Associate,7052.912637867823,108387.7377982592,36.70375742131449
2,Sales,High School,1,Male,Financial Analyst,3754.9685354788276,144223.9005912865,62.76181527029252
4,Operations,College,1,Male,Graphic Designer,10251.90315323127,82562.36585309649,41.747224013240526
2,Engineering,College,3,Female,Marketing Associate,7132.563123136273,134544.0450182154,40.74705467483366
1,Administration,Masters,2,Female,Data Scientist,4974.674528680129,79893.2651772927,65.44105685707996
3,Management,High School,1,Male,Software Engineer,5246.990925451321,71716.22179233137,39.62216193174295
3,Engineering,PhD,5,Male,Warehouse Associate,4676.178551669634,90420.10773286129,63.48553168028792
4,Engineering,Masters,2,Female,Software Engineer,7780.954865518368,99417.79669456423,46.49942535631919
3,Operations,High School,4,Male,Sales Associate,5045.350752807324,64428.04754258368,29.361898213681318
4,Sales,PhD,4,Male,Financial Analyst,7190.449135819639,85999.00268609103,32.723289372608875
5,Sales,College,1,Male,Software Engineer,2539.716466048725,106445.8771278319,42.04723872727136
3,Administration,College,1,Male,Graphic Designer,5363.95682269027,75725.01216014693,43.17982323672412
1,Sales,College,1,Female,Data Scientist,4912.660453457951,115632.70949837462,62.27489633746464
2,Sales,High School,4,Female,Driver,5019.449602982083,91711.49369315842,23.0299892286515
1,Administration,Masters,1,Female,Marketing Associate,2411.5621571588454,115892.34926452489,40.358189346891365
2,Engineering,Masters,4,Male,Software Engineer,8328.451621822682,123670.48005563067,37.6532493502808
3,Administration,Masters,2,Female,Financial Analyst,6856.661108068802,94236.55261291054,28.936462413039155
2,Administration,Masters,1,Male,Marketing Associate,3811.031602720856,110025.65305944778,21.276603719847294
3,Operations,Masters,5,Female,Sales Associate,7845.170825393223,88474.52559301884,47.519718853678185
5,Operations,PhD,4,Female,Driver,3654.8644370305783,105275.0996461823,37.579532815604196
4,Administration,High School,1,Male,Sales Associate,7357.553639128426,66069.63936179988,45.58634094213939
2,Sales,College,2,Female,IT,9634.505459705644,104403.70461446657,29.115353896954343
5,Sales,High School,3,Female,Warehouse Associate,3251.5280141759804,95920.43654773661,21.152371021845028
2,Sales,PhD,4,Male,Graphic Designer,6870.4976524693175,111238.89051420068,20.37268970682412
2,Sales,PhD,5,Female,Data Scientist,7713.207766625361,83399.85078863156,34.69958530099551
5,Operations,High School,2,Female,Manager,8375.753847401587,86783.28447356237,20.275051050530916
3,Operations,College,4,Male,Software Engineer,7648.385381610098,117983.03734011267,61.71730642057565
1,Operations,PhD,2,Female,Financial Analyst,3400.009865274626,79981.40749710632,53.52594565653098
1,Sales,High School,2,Female,Warehouse Associate,8829.263020682742,72260.24240532824,63.15263068806975
2,Sales,High School,3,Female,IT,6481.362404558733,64963.610616693244,50.80018635010336
5,Management,PhD,3,Female,Data Scientist,9968.79107086083,85141.64617708532,47.18465297130932
1,Management,College,4,Male,Data Scientist,10966.037272631373,65941.80379641191,20.47298302693511
4,Sales,PhD,4,Male,Software Engineer,9330.342988297085,60854.44838165428,25.250156106554584
5,Engineering,College,2,Female,Manager,6981.137609004056,76887.26773121305,62.67261566297182
5,Management,PhD,2,Male,Sales Associate,5759.485830539985,130347.12947918575,47.9578921505076
1,Engineering,Masters,1,Male,Software Engineer,6142.354313629292,72148.6126581696,51.30453554654028
4,Engineering,College,4,Male,Data Scientist,9021.958240759795,105812.7657110323,49.565191834363816
5,Operations,PhD,5,Female,Marketing Associate,7057.048071174977,60834.436902174275,32.28762238197041
1,Management,PhD,3,Male,IT,6379.131778257866,106435.29849606582,38.19786695444928
5,Sales,High School,4,Male,Graphic Designer,6053.23708333779,92610.4862553881,33.17294555684472
4,Engineering,High School,3,Female,Sales Associate,5034.921988585907,96213.52233894524,21.459017307532385
4,Management,PhD,1,Male,Data Scientist,6957.94103947065,85039.51431052801,21.31984082810285
5,Sales,Masters,4,Female,Graphic Designer,7161.0963630782935,98183.7996261537,56.43215658920374
5,Engineering,College,1,Male,Warehouse Associate,9271.67284791571,143386.19465286896,43.108401580511
4,Sales,High School,5,Female,Sales Associate,6492.800076881593,81211.78136109716,59.104925853212954
1,Engineering,PhD,3,Male,Software Engineer,4996.29375559138,96415.39780564104,43.943230712248955
1,Sales,College,4,Male,Software Engineer,3668.9834903418378,75566.7866630559,53.32705459144174
2,Operations,Masters,5,Female,Financial Analyst,1971.7086055499312,97632.68829102286,61.358450545127056
2,Engineering,College,1,Male,Warehouse Associate,5217.008405289409,95992.13239802445,47.31279248093878
5,Sales,Masters,1,Female,IT,3233.7555191629262,103382.17247189273,54.841542475403145
1,Administration,Masters,1,Male,Graphic Designer,3476.5786216079173,76064.11393560636,64.17873235154067
2,Sales,College,5,Male,Warehouse Associate,9447.793785933116,111600.14984607822,36.93581565333911
4,Management,Masters,2,Male,Graphic Designer,8240.346483226363,106033.03446568377,42.42251103766745
4,Operations,Masters,3,Male,Marketing Associate,5097.295686649314,91404.79566257089,65.43041173797165
4,Management,PhD,5,Female,Marketing Associate,6610.819096921321,42059.446440499996,34.004780550612104
2,Engineering,College,5,Female,Data Scientist,3276.032229513544,95912.2310123378,33.22102044182178
5,Engineering,Masters,1,Male,Graphic Designer,10649.812152721493,90070.006952407,19.759570330016754
1,Engineering,High School,1,Male,Software Engineer,7817.907898972393,81063.67942925749,41.803318199270684
4,Management,College,2,Female,IT,7945.842784557757,143957.74912033492,48.9102413428121
4,Sales,College,4,Male,Graphic Designer,8556.243838128381,121808.19846060498,57.26635891468504
4,Management,High School,4,Male,Data Scientist,8254.84592603122,68978.22425841588,64.49241569291308
5,Administration,Masters,1,Female,Sales Associate,7545.369424578252,100019.75810566619,46.07204808020538
